,State Name,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,percapita_2015,percapita_2016,percapita_2017,percapita_2018,percapita_2019,percapita_2020,percapita_2021,personal_consumption_2015,personal_consumption_2016,personal_consumption_2017,personal_consumption_2018,personal_consumption_2019,personal_consumption_2020,personal_consumption_2021
37,Pennsylvania,12802503,12784227,12805537,12807060,12801989,12989625,12964056,684065.8,690539.4,699648.5,707583.8,719115.1,694260.9,724993.3,0.05343219212680521,0.05401495139283744,0.054636404549063426,0.055249510816690175,0.056172138563780984,0.053447339703802076,0.055923339115474355,36451.8,37154.5,37711.5,38333.9,39252.7,41854.1,45258.3
38,Rhode Island,1056298,1056426,1059639,1057315,1059361,1096229,1095610,53084.5,53032.4,52774.7,52717.5,53521.5,53003.9,55869.2,0.05025523100488688,0.05019982469193299,0.04980441452230429,0.04985978634560183,0.05052243758265596,0.04835112006706628,0.050993693011199236,3154.1,3260.5,3383.8,3521.2,3606.0,3895.7,4167.0
39,South Carolina,4896146,4961119,5024369,5084127,5148714,5130729,5190705,194513.1,200217.7,203827.2,208933.5,216130.9,213949.1,224632.6,0.039727798149810076,0.040357366956930485,0.040567721041189456,0.04109525588168824,0.04197764723385296,0.04169955185705579,0.04327593265269362,14069.6,14570.1,14742.3,15354.6,15860.7,17615.3,18839.4
40,South Dakota,858469,865454,869666,882235,884659,887099,895376,46827.5,46539.7,44730.1,45930.8,47112.8,48936.6,49920.1,0.05454768896721955,0.05377489733712017,0.05143365383952,0.052061865602702234,0.0532553221071622,0.05516475613206643,0.05575322546058862,2346.6,2394.6,2406.0,2464.1,2528.2,2752.0,2955.3
41,Tennessee,6600299,6651194,6715984,6770010,6829174,6920119,6975218,306627.1,314435.8,322952.7,324564.1,332768.1,334888.6,361526.3,0.046456546892799856,0.04727509075814057,0.048087175311912596,0.047941450603470305,0.048727430286591024,0.048393474158464615,0.0518301076754877,16695.3,16636.9,16710.6,17185.6,17712.7,19654.4,21037.8
42,Texas,27469114,27862596,28304596,28701845,28995881,29217653,29527941,1617560.7,1625938.6,1684251.4,1748442.2,1809786.0,1775727.5,1840893.4,0.0588865261544293,0.058355603332869634,0.05950452004331734,0.06091741489092426,0.06241527891496037,0.06077584328898697,0.06234411671304816,75734.9,77414.6,80181.5,82780.6,85054.2,95433.5,102502.4
43,Utah,2995919,3051217,3101833,3161105,3205958,3281684,3337975,143759.1,150823.9,159319.9,166619.5,174366.9,180782.4,191570.2,0.04798497556175584,0.0494307353426518,0.051363145598102795,0.05270925831315315,0.05438839186290026,0.0550883022253209,0.05739114283360421,7575.2,7893.8,8192.8,8553.3,8884.4,9701.3,10386.5
44,Vermont,626042,624594,623657,626299,623989,642495,645570,29165.4,29449.5,29543.2,29494.4,30112.2,29792.3,31108.3,0.0465869702032771,0.04714982852861219,0.04737091061272462,0.04709316157298671,0.0482575814637758,0.04636969937509241,0.048187338321173535,2347.5,2331.4,2359.9,2467.9,2518.1,2704.7,2868.4
45,Virginia,8382993,8411808,8470020,8517685,8535519,8632044,8642274,456691.0,465280.7,472242.9,480168.6,493830.0,490490.0,516071.8,0.054478275241312976,0.05531280552290305,0.055754638123640794,0.05637313424950559,0.0578558843346257,0.05682199951714797,0.059714815799637916,24152.8,24907.4,26088.3,26600.7,27332.9,29855.8,32224.2
46,Washington,7170351,7288000,7405743,7535591,7614893,7718785,7738692,445178.2,466684.7,494726.7,519952.3,541480.5,550202.8,584844.1,0.062085970407864274,0.06403467343578485,0.0668031148258858,0.06899953832420044,0.07110809042228171,0.07128101119541483,0.07557402465429558,23042.8,23279.5,24008.3,24918.8,25745.8,28993.2,30287.1
47,West Virginia,1844128,1831102,1815857,1805832,1792147,1789798,1782959,70422.3,69748.5,71547.7,73677.0,72547.7,71326.3,71904.8,0.03818731671554253,0.03809099656927905,0.03940161587614002,0.04079947636324974,0.04048088689153289,0.03985159219085059,0.04032891390099268,5016.5,5158.0,5235.0,5253.0,5390.4,5821.4,6233.9
48,Wisconsin,5771337,5778709,5795483,5813568,5822434,5892323,5895908,290518.1,291927.6,293466.1,301207.0,305775.0,301148.2,312161.0,0.050338093235588216,0.050517788661792795,0.05063703922520349,0.05181103927914837,0.052516696625500604,0.05110856957434275,0.0529453648191254,15735.9,15996.6,16553.5,16997.1,17290.0,18450.5,19384.4
49,Wyoming,586107,585501,579315,577737,578759,577267,578803,40111.1,36972.8,37582.1,38220.6,38924.8,35690.3,36465.2,0.06843648002839071,0.06314728753665665,0.06487334179159869,0.06615570752781975,0.06725562799023428,0.061826329930517426,0.06300105562687132,1858.9,1884.2,1930.7,1976.1,2042.2,2221.6,2327.7
